paper_id,author_id
0909.1234,Gabriel C. G. de Abreu
0909.1234,Rodrigo Labouriau
0909.1234,David Edwards
0704.1555,A. Tomoeda
0704.1555,K. Nishinari
0704.1555,D. Chowdhury
0704.1555,A. Schadschneider
0708.3127,Wang Yong
1012.3795,Mladen Kolar
1012.3795,Eric P. Xing
0903.3796,Silvia Bianconcini
0903.3796,Silvia Cagnone
0711.2914,Gidudu Anthony
0711.2914,Hulley Gregg
0711.2914,Marwala Tshilidzi
1811.02764,Peiyang Song
1811.02764,Fengkui Gong
1811.02764,Qiang Li
1811.02764,Guo Li
1811.02764,Haiyang Ding
0704.0895,Nicolas Perrin
1712.03993,Venkateswararao Cherukuri
1712.03993,Peter Ssenyonga
1712.03993,Benjamin C. Warf
1712.03993,Abhaya V. Kulkarni
1712.03993,Vishal Monga
1712.03993,Steven J. Schiff
